What is translate for the Sanskrit word "bitumen"?; '6'; ' The full title was "Dalai Lama Vajradhara", "Vajradhara" meaning "Holder of the Thunderbolt" in Sanskrit'
During what period was bitumen used in printing processes?; '181'; ' Bitumen was used in early photographic technology'
Who referred to culture as a cultivation of individuals?; '297'; ' The modern term "culture" is based on a term used by the Ancient Roman orator Cicero in his Tusculanae Disputationes, where he wrote of a cultivation of the soul or "cultura animi", using an agricultural metaphor for the development of a philosophical soul, understood teleologically as the highest possible ideal for human development'
What did Alan Blumlein invent?; '282'; ' The ultimately dominant "45/45" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year'
When did the bureau announce Robert Hanssen's arrest?; '151'; ' On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001'
What is the Swiss private-public managed road network funded by?; '247'; ' Swiss private-public managed road network is funded by road tolls and vehicle taxes'
What is the biggest lake in Switzerland?; '247'; ' The largest lake is Lake Geneva, in western Switzerland shared with France'
When did Marvel withdraw from the Comics Code Authority?; '199'; ' The Soviet Union, a veto-wielding power, had boycotted the Council meetings since January 1950, protesting that the Republic of China (Taiwan), not the People's Republic of China, held a permanent seat in the UN Security Council'
What is Marvel's most successful book?; '220'; ' This applied to The Amazing Spider-Man title in particular, which turned out to be Marvel's most successful book'
Who established Audiophile Records?; '282'; ' One of the first attempts at this was in the 1950s, when inventor Ewing Dunbar Nunn founded the label Audiophile Records, which released, in addition to standard 33 1/3 rpm LPs, 78 rpm-mastered albums that were microgroove and pressed on vinyl (as opposed to traditional 78s, with their shellac composition and wider 3-mil sized grooves)'
What aided in records sales in the 1950s?; '181'; ' Many hours of exposure in the camera were required, making bitumen impractical for ordinary photography, but from the 1850s to the 1920s it was in common use as a photoresist in the production of printing plates for various photomechanical printing processes'
What agency advanced DNA testing?; '151'; ' The FBI Laboratory helped develop DNA testing, continuing its pioneering role in identification that began with its fingerprinting system in 1924'
When did Filiberto Ojeda Ríos die?; '151'; ' In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination'
What did the shramana movements confront?; '304'; ' During the time between 800 and 200 BCE the Shramana-movement formed, from which originated Jainism and Buddhism'
Who helped Bell start hydrofoils experiment?; '56'; ' This led him and Bell to the development of practical hydrofoil watercraft'
What is expected to have a consequence on migration timing?; '109'; ' The timing of migration seems to be controlled primarily by changes in day length'
What free flying sports event did Brasilia hold in 2003?; '428'; ' In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying'
What was the most serious instance of child labour?; '177'; ' Up until the middle of the 1980s it was assumed that infants could not encode, retain, and retrieve information'
What caused child labour to decrease in Vietnam?; '273'; ' Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth'
In what year did the Bell family move to London?; '56'; ' Upon leaving school, Bell travelled to London to live with his grandfather, Alexander Bell'
Who did Bell marry in 1877?; '56'; '[N 19] On July 11, 1877, a few days after the Bell Telephone Company was established, Bell married Mabel Hubbard (1857–1923) at the Hubbard estate in Cambridge, Massachusetts'
What style of gardens did Roberto Burle Marx design?; '428'; ' The Brazilian landscape architect Roberto Burle Marx designed landmark modernist gardens for some of the principal buildings'
What is Brasilia's per capita GDP?; '428'; '76% of the total Brazilian GDP'
What can peer pressure influence?; '196'; ' In addition, peer pressure influences clothing choice'
What is the name of lateral-cut disc records?; '282'; ' Through the 1960s, 1970s, and 1980s, various methods to improve the dynamic range of mass-produced records involved highly advanced disc cutting equipment'
What is the goal of the NIBRS?; '151'; ' The NIBRS system is in greater detail than the summary-based UCR system'
Who killed Filiberto Ojeda Ríos?; '151'; ' In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination'
Who designed the learning buildings at Eton?; '288'; ' New school buildings have appeared for teaching purposes every decade or so since New Schools, designed by Henry Woodyer and built 1861-3'
What compound was discovered to induce sleep?; '179'; ' In 1903 Hermann Emil Fischer and Joseph von Mering disclosed their discovery that diethylbarbituric acid, formed from the reaction of diethylmalonic acid, phosphorus oxychloride and urea, induces sleep in dogs'
